state,city,first_year,last_year,good_case
AK,ANCHORAGE,1946,,currently council-manager
AK,FAIRBANKS,1947,,***** home rule city
AK,NOME,1965,.,currently council-manager
AK,SITKA,,
AL,ANNISTON,1969,,***** currently ???
AL,BESSEMER,,,currently mayor-council
AL,BREWTON,1947,,
AL,DOTHAN,1958,,
AL,MOUNTAIN BROOK,1942,,
AL,SYLACAUGA,1942,,
AR,ARKADELPHIA,,,
AR,BENTON,,,
AR,BENTONVILLE,,,
AR,BLYTHEVILLE,,,***** currently ???
AR,CAMDEN,1959,,*****
AR,FAYETTEVILLE,1967,,***** currently ???
AR,HOPE,1957,.,*****
AR,HOT SPRINGS,1986,.,*****
AR,LITTLE ROCK,1957,.,
AR,MALVERN,,,
AR,MARIANNA,1925,,
AR,MAUMELLE,,,
AR,NEWPORT,,,
AR,TEXARKANA,,.,
AZ,BISBEE,,,***** currently council-manager						xxxxx adopted post-1922
AZ,CASA GRANDE,1954,,*****
AZ,FLAGSTAFF,1958,,***** currently council-manager
AZ,PHOENIX,1914,,***** currently council-manager
AZ,PRESCOTT,1954,
AZ,TUCSON,1930,,***** currently council-manager
AZ,YUMA,1970,,
CA,ALAMEDA,1917,,
CA,ALHAMBRA,1916,,
CA,ARCADIA,1951,,***** currently council-manager
CA,ARCATA,,,
CA,AUBURN,1948?,,
CA,AVALON,1947,,
CA,BAKERSFIELD,1915,,***** currently council-manager
CA,BERKELEY,1923,,
CA,BURBANK,1927,,
CA,CHICO,1923,,
CA,COMPTON,1925,,
CA,CORONADO,1920,,
CA,CULVER CITY,2009,,
CA,DELANO,1946,,
CA,EUREKA,1959,,***** currently council-manager
CA,FILLMORE,1918,,
CA,FREMONT,,,***** currently council-manager						xxxxx adopted pre-1965?
CA,FRESNO,1958,,***** currently hybrid mayor-council
CA,GLENDALE,1914,,currently council-manager
CA,HAYWARD,1948?,,
CA,HILLSBOROUGH,1928,,
CA,HUNTINGTON BEACH,,,
CA,LONG BEACH,1921,,***** currently council-manager
CA,LOS ANGELES,.,.,***** currently mayor-council-commission
CA,LYNWOOD,1945,,
CA,MENLO PARK,1948?,,
CA,MILL VALLEY,1942,,
CA,MILPITAS,1954,
CA,MODESTO,,,***** currently council-manager with directly elected mayor
CA,MONTEREY,1925,,
CA,OAKLAND,1931,1999,***** currently hybrid council-manager with strong mayor
CA,ONTARIO,1944,,
CA,OXNARD,1947,,
CA,PACIFIC GROVE,1927,,
CA,PALM SPRINGS,1941,,
CA,PALO ALTO,1950,,
CA,PASADENA,1921,,***** currently council-manager
CA,PETALUMA,1948?,,
CA,PITTSBURG,1919,,
CA,POMONA,,,***** currently council-manager
CA,PORTERVILLE,1927,,
CA,REDLANDS,,,***** currently council-manager						xxxxx adopted pre-1952?
CA,REDDING,1946,,
CA,REDWOOD CITY,1929,,
CA,RICHMOND,1920,,
